date,equity,open_positions
2016-04-18,5619860.602339835,100
2016-04-20,5624572.588833899,100
2016-04-21,5616079.75286794,100
2016-04-22,5616245.359542134,100
2016-04-25,5615750.918265773,100
2016-04-26,5626345.823572589,100
2016-04-27,5629301.990848018,100
2016-04-28,5617448.767098978,100
2016-04-29,5619500.014692331,100
2016-05-02,5627062.487959886,100
2016-05-03,5621652.787755889,100
2016-05-04,5608370.388715746,97
2016-05-05,5607020.116981328,96
2016-05-06,5606407.918599449,98
2016-05-09,5621303.815329405,100
2016-05-10,5619784.9057141775,100
2016-05-11,5622817.1682965,100
2016-05-12,5628809.738928481,100
2016-05-13,5626743.230003592,100
2016-05-16,5624631.032939002,99
2016-05-17,5627943.289644286,99
2016-05-18,5628517.146824907,100
2016-05-19,5616983.839503497,100
2016-05-20,5611702.187777263,96
2016-05-23,5608393.424153003,93
2016-05-24,5607424.175311247,85
2016-05-25,5617361.32082724,90
2016-05-26,5628504.207251263,93
2016-05-27,5632630.1271797335,98
2016-05-30,5639682.601911719,99
2016-05-31,5640064.426206756,100
2016-06-01,5642614.776218582,100
2016-06-02,5649125.346651245,100
2016-06-03,5650441.047359634,100
2016-06-06,5650916.425487074,100
2016-06-07,5659955.993268522,100
2016-06-08,5667452.097384962,100
2016-06-09,5661833.323554548,100
2016-06-10,5661021.235733635,100
2016-06-13,5658674.343468315,100
2016-06-14,5660048.526388771,100
2016-06-15,5668789.288822777,100
2016-06-16,5661154.042090388,100
2016-06-17,5666706.505737696,100
2016-06-20,5670009.580976877,100
2016-06-21,5672162.089922342,100
2016-06-22,5669200.677230773,100
2016-06-23,5670623.909198545,100
2016-06-24,5659865.876210877,96
2016-06-27,5673731.738766408,100
2016-06-28,5680649.626833604,100
2016-06-29,5696149.500816033,100
2016-06-30,5708732.6609684685,100
2016-07-01,5715651.773056589,100
2016-07-04,5721347.664341532,100
2016-07-05,5715671.688349623,100
2016-07-07,5719345.773948569,100
2016-07-08,5720924.945969481,100
2016-07-11,5734287.80742063,100
