date,equity,open_positions,entry_blocked
2006-09-29,2338434.9850489944,99,0
2006-10-03,2330393.2767898887,99,0
2006-10-04,2306109.030991186,99,0
2006-10-05,2345639.1570492876,99,0
2006-10-06,2361231.0577999246,99,0
2006-10-09,2375233.7840758455,99,0
2006-10-10,2372633.9458337915,99,0
2006-10-11,2341618.834911684,98,0
2006-10-12,2370767.7855289974,98,0
2006-10-13,2385163.4780248203,98,0
2006-10-16,2383744.3283720976,98,0
2006-10-17,2366374.1016711146,97,0
2006-10-18,2357390.962233904,98,0
2006-10-19,2334011.055672529,98,0
2006-10-20,2333770.538793036,97,0
2006-10-23,2338305.8291125298,97,0
2006-10-26,2372425.381253454,97,0
2006-10-27,2394472.861121389,97,0
2006-10-30,2386897.907926763,97,0
2006-10-31,2372758.59392949,96,0
2006-11-01,2391664.215434934,96,0
2006-11-02,2423750.1714900983,96,0
2006-11-03,2447078.9057028075,95,0
2006-11-06,2454241.715266542,95,0
2006-11-07,2449605.009284334,95,0
2006-11-08,2430724.632345563,95,0
2006-11-09,2444457.0873286305,95,0
2006-11-10,2470340.566635424,95,0
2006-11-13,2488507.9507425367,95,0
2006-11-14,2484503.5161752384,95,0
2006-11-15,2479746.3354653995,95,0
2006-11-16,2486149.0052777464,94,0
2006-11-17,2449789.9229917405,90,0
2006-11-20,2435422.162462807,87,0
2006-11-21,2480923.5482479134,89,0
2006-11-22,2500554.2542054127,90,0
2006-11-23,2502403.769961747,93,0
2006-11-24,2507734.808226975,93,0
2006-11-27,2541972.977654006,93,0
2006-11-28,2513054.9875908154,93,0
2006-11-29,2533119.726000676,92,0
2006-11-30,2535877.5531257484,92,0
2006-12-01,2558721.1870366223,92,0
2006-12-04,2569799.6187383654,92,0
2006-12-05,2580370.867428017,92,0
2006-12-06,2566187.7755312826,91,0
2006-12-07,2567747.7881765272,91,0
2006-12-08,2558164.5214355076,92,0
2006-12-11,2471027.5953945923,80,0
2006-12-12,2372464.669742993,60,0
2006-12-13,2400781.0320982253,60,0
2006-12-14,2460385.535820124,61,0
2006-12-15,2489109.5708285016,64,0
2006-12-18,2507866.4983722623,65,0
2006-12-19,2479725.4641705845,64,0
2006-12-20,2475292.3520366047,64,0
2006-12-21,2481713.471024618,68,0
2006-12-22,2501098.729504968,70,0
2006-12-26,2510233.436462347,72,0
2006-12-27,2521886.6090651015,74,0
2006-12-28,2514459.3749063467,76,0
2006-12-29,2530254.334591068,77,0
2007-01-02,2554834.4071077136,80,0
2007-01-03,2567472.1108163875,83,0
2007-01-04,2565965.254271972,84,0
2007-01-05,2562260.5297799753,87,0
2007-01-08,2538790.32264096,88,0
2007-01-09,2536357.5826335596,88,0
2007-01-10,2512528.1907040244,88,0
2007-01-11,2553225.285133994,88,0
2007-01-12,2596202.549385703,88,0
2007-01-15,2617113.528264678,88,0
2007-01-16,2617698.710203803,88,0
2007-01-17,2642181.7167079067,88,0
2007-01-18,2644571.7620865917,88,0
2007-01-19,2630024.9250990963,88,0
2007-01-22,2628734.378950732,88,0
2007-01-23,2590331.391389506,88,0
2007-01-24,2603942.179030592,87,0
2007-01-25,2630771.824420201,87,0
2007-01-29,2628439.5097900806,87,0
2007-01-31,2605969.291005312,82,0
2007-02-01,2616030.21091321,87,0
2007-02-02,2635263.1796930665,88,0
2007-02-05,2655508.362488591,88,0
2007-02-06,2659786.5132001657,87,0
2007-02-07,2675116.0892900247,87,0
2007-02-08,2666807.670602417,87,0
2007-02-09,2623652.0565696713,87,0
2007-02-12,2537411.5440609884,78,0
2007-02-13,2527641.270145746,72,0
2007-02-14,2539807.1689281245,68,0
2007-02-15,2587935.391521432,68,0
2007-02-19,2597310.6292958795,69,0
2007-02-20,2581080.6221995233,70,0
2007-02-21,2580304.349519398,73,0
2007-02-22,2562814.1896270607,71,0
2007-02-23,2513596.6535732425,67,0
2007-02-26,2520152.9382035397,65,0
2007-02-27,2516109.8371569035,63,0
2007-02-28,2455866.317314293,53,0
2007-03-01,2461271.883986649,53,0
2007-03-02,2444081.858205165,51,0
2007-03-05,2380866.9966622107,44,0
2007-03-06,2386090.650590063,43,0
2007-03-07,2369637.2035040753,40,0
2007-03-08,2388260.0182294887,38,0
2007-03-09,2388065.5475530666,38,0
2007-03-12,2398503.148309712,38,0
2007-03-13,2413932.153676037,38,0
2007-03-14,2396008.579498295,38,0
2007-03-15,2397988.4418058437,38,0
2007-03-16,2393668.5038700146,38,0
2007-03-19,2406743.4882869762,38,0
2007-03-20,2412354.655942921,38,0
2007-03-21,2417159.60945702,38,0
2007-03-22,2425397.3271980328,38,0
2007-03-23,2432431.4975557346,39,0
2007-03-26,2430706.9739074726,39,0
2007-03-28,2420089.3121398375,38,0
2007-03-29,2421662.084369986,38,0
2007-03-30,2437631.1741889403,38,0
2007-04-02,2403687.23878501,37,0
2007-04-03,2412242.623884421,37,0
2007-04-04,2425480.8496696763,37,0
2007-04-05,2433522.4829054237,38,0
2007-04-09,2447934.362168804,39,0
2007-04-10,2450206.934340154,41,0
2007-04-11,2456137.711010813,42,0
2007-04-12,2461555.0460003605,42,0
2007-04-13,2480825.108368893,43,0
2007-04-16,2494236.029132807,46,0
2007-04-17,2482814.0729078343,47,0
2007-04-18,2490737.472937988,48,0
2007-04-19,2494675.2192462236,51,0
2007-04-20,2505587.537474298,53,0
2007-04-23,2503434.906468558,56,0
2007-04-24,2515070.438928294,56,0
2007-04-25,2511482.337912311,62,0
2007-04-26,2507852.356065009,65,0
2007-04-27,2492115.0371514526,64,0
2007-04-30,2521789.478411696,66,0
2007-05-03,2543962.5679871626,73,0
2007-05-04,2533060.995551224,77,0
2007-05-07,2526502.716606429,77,0
2007-05-08,2515426.201088324,76,0
2007-05-09,2516041.940098693,77,0
2007-05-10,2519053.9182624095,76,0
2007-05-11,2522995.91447823,76,0
2007-05-14,2546348.9959001997,87,0
2007-05-15,2552475.468993011,93,0
2007-05-16,2568115.076405349,93,0
2007-05-17,2584841.635983291,93,0
2007-05-18,2573303.471930488,93,0
2007-05-21,2607056.9835920176,93,0
2007-05-22,2604520.812735775,93,0
2007-05-23,2592352.1861202507,93,0
2007-05-24,2581481.081365803,93,0
2007-05-25,2596568.9876816063,93,0
2007-05-28,2625877.175887802,93,0
2007-05-29,2657563.8042888027,93,0
2007-05-30,2625360.1961156335,93,0
2007-05-31,2636769.3313656924,93,0
2007-06-01,2652796.5245934604,93,0
2007-06-04,2642292.6594530223,93,0
2007-06-05,2656661.6606203197,92,0
2007-06-06,2612767.0440981854,92,0
2007-06-07,2615284.305747099,91,0
2007-06-08,2595257.8499839525,90,0
2007-06-11,2589830.345548166,91,0
2007-06-12,2565364.1154235187,82,0
2007-06-13,2561939.9445686257,81,0
2007-06-14,2597637.7509080614,83,0
2007-06-15,2607987.7844195203,84,0
2007-06-18,2610596.6756786616,84,0
2007-06-19,2639747.6680157757,84,0
2007-06-20,2680904.1919241943,87,0
2007-06-21,2700937.8383940617,91,0
2007-06-22,2709567.2553318897,91,0
2007-06-25,2719926.090208904,91,0
2007-06-26,2739611.2991872015,91,0
2007-06-27,2747762.4841698054,90,0
2007-06-28,2883003.478757227,90,0
2007-06-29,2916407.0597852115,90,0
2007-07-02,2936296.8721969966,90,0
2007-07-03,2968381.038176382,90,0
2007-07-04,2957308.7093408946,90,0
2007-07-05,2950162.630201185,90,0
2007-07-06,2963878.4139803294,90,0
2007-07-09,2998087.9477041606,90,0
2007-07-10,2991947.706095541,90,0
2007-07-11,3008994.686215246,90,0
2007-07-12,3053114.062489355,90,0
2007-07-13,3072572.230273092,90,0
2007-07-16,3094847.2333270353,91,0
2007-07-17,3060307.8519723075,91,0
2007-07-18,3055494.391053881,91,0
2007-07-19,3074605.979679674,91,0
2007-07-20,3076526.6400103057,90,0
2007-07-23,3116880.8909758343,90,0
2007-07-24,3095966.733904603,90,0
2007-07-25,3075324.6243899055,90,0
2007-07-26,3086917.382166968,90,0
2007-07-27,2997222.3753840886,86,0
2007-07-30,2997606.7157414197,85,0
2007-07-31,3062341.5454137237,86,0
2007-08-01,2944675.6476170616,82,0
2007-08-02,2975369.0370960105,80,0
2007-08-03,3023211.194389807,80,0
2007-08-06,3013122.500829207,80,0
2007-08-07,3031951.7177174063,79,0
2007-08-08,3074787.2531073065,79,0
2007-08-09,3021314.1911466094,79,0
2007-08-10,2997820.552042939,73,0
2007-08-13,3027440.760596903,75,0
2007-08-14,3022116.089663975,75,0
2007-08-16,2922392.4384118808,63,0
2007-08-17,2904255.5882792147,53,0
2007-08-20,2924213.114788249,54,0
2007-08-21,2869052.8879723004,49,0
2007-08-22,2876726.0498526525,48,0
2007-08-23,2853774.3540144106,45,0
2007-08-24,2876842.9027643343,45,0
2007-08-27,2912539.913366416,47,0
2007-08-28,2922844.5914746313,47,0
2007-08-29,2926903.7333808364,49,0
2007-08-30,2935036.0344634475,49,0
2007-08-31,2956572.344550106,52,0
2007-09-03,2987677.576206267,57,0
2007-09-04,3004177.187947429,61,0
2007-09-05,2997387.8716842346,62,0
2007-09-06,3014607.5878327372,65,0
2007-09-07,3008908.5270872093,67,0
2007-09-10,3035549.778084239,71,0
2007-09-11,3048984.3915238073,72,0
2007-09-12,3059585.1844753586,74,0
2007-09-13,3076563.3837927254,79,0
2007-09-14,3054873.801687387,79,0
2007-09-17,3063557.7482608375,80,0
2007-09-18,3087764.8437605705,85,0
2007-09-19,3277840.161797143,93,0
2007-09-20,3292834.117196418,93,0
2007-09-21,3327227.5594247947,93,0
2007-09-24,3391893.782273126,93,0
2007-09-25,3414494.687379849,93,0
2007-09-26,3414863.826751304,93,0
2007-09-27,3408962.6558499457,93,0
2007-09-28,3455205.236977768,93,0
2007-10-01,3496192.8461383358,93,0
2007-10-03,3513269.879096307,93,0
2007-10-04,3537433.9872512594,93,0
2007-10-05,3493356.4295240417,93,0
2007-10-08,3352416.725766782,89,0
2007-10-09,3496280.3729484538,90,0
2007-10-10,3559185.396175656,91,0
2007-10-11,3617710.394629452,91,0
2007-10-12,3569416.7390921446,91,0
2007-10-15,3704045.008030865,91,0
2007-10-16,3752349.8299380275,91,0
2007-10-17,3670562.130097494,90,0
2007-10-18,3566298.1877939263,90,0
2007-10-19,3439087.3446465544,87,0
2007-10-22,3448943.972589042,87,0
2007-10-23,3631019.8212379366,88,0
2007-10-24,3800394.356407284,89,0
2007-10-25,3857187.0427154293,89,0
2007-10-26,3939597.076785921,89,0
2007-10-29,4080316.9099799385,89,0
2007-10-30,4088732.115496992,89,0
2007-10-31,4163242.553269266,89,0
2007-11-01,4092739.1449400177,89,0
2007-11-02,4133928.578777193,89,0
2007-11-05,4174671.955994009,89,0
2007-11-06,4145430.147466301,89,0
2007-11-07,4122904.505963086,89,0
2007-11-08,4809742.875633716,89,0
2007-11-12,4888292.360939859,89,0
2007-11-13,4944492.556734442,89,0
2007-11-14,5038474.532913088,89,0
2007-11-15,5094303.186428427,89,0
2007-11-16,5104299.095423817,89,0
2007-11-19,5241600.459186434,89,0
2007-11-20,5135320.218986153,89,0
2007-11-21,4892974.40537774,87,0
2007-11-22,4796549.219624246,86,0
2007-11-23,4856445.2469012095,87,0
2007-11-26,4945693.919712268,88,0
2007-11-27,4903119.052529536,88,0
2007-11-28,4885191.353535734,88,0
2007-11-29,4843375.957330905,88,0
2007-11-30,4966529.873482905,88,0
2007-12-03,5105669.840218626,88,0
2007-12-04,5208657.771088444,88,0
2007-12-05,5298203.155407511,88,0
2007-12-06,5237180.486826502,88,0
2007-12-07,5195312.29189726,88,0
2007-12-10,5219489.733050905,88,0
2007-12-11,5269704.179701666,87,0
2007-12-12,5337334.0211306615,87,0
2007-12-13,5375452.414928059,87,0
2007-12-14,5386669.767120699,87,0
2007-12-17,5191309.437982231,87,0
2007-12-18,5166332.173502222,87,0
2007-12-19,5162708.290299288,87,0
2007-12-20,5094293.2979192445,87,0
2007-12-24,5209910.799892397,87,0
2007-12-26,5284813.080830784,87,0
2007-12-27,5314180.347687931,87,0
2007-12-28,5409120.467225761,87,0
2007-12-31,5530281.176062555,87,0
2008-01-01,5624383.157046766,87,0
2008-01-02,5669946.872559042,87,0
2008-01-03,5682844.243207903,87,0
2008-01-04,5690746.556182832,87,0
2008-01-07,5660149.767505617,87,0
2008-01-08,5550700.318948811,87,0
2008-01-09,5511769.248030687,86,0
2008-01-10,5346360.822496597,80,0
2008-01-11,5328144.181931415,79,0
2008-01-14,5446666.48357264,79,0
2008-01-15,5372727.653707561,77,0
2008-01-16,5275304.941968099,71,0
2008-01-17,5371318.890750066,71,0
2008-01-18,5115781.462673356,62,0
2008-01-21,4681932.203824927,0,0
2008-01-22,4681932.203824927,0,0
2008-01-23,4680167.821769728,1,0
2008-01-24,4676293.855735793,1,0
