symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
NEULANDLAB,2014-05-08,2014-08-04,326.00004527722854,291.70126602034384,30,-1028.963377706541,-10.52109647031405,trail_stop
CUB,2014-04-11,2014-08-07,31.879152091297545,41.28891984138418,313,2945.257305777115,29.51699506667661,trail_stop
ABB,2014-03-06,2014-08-08,697.5107415465809,878.7242889818231,14,2536.989664093391,25.980036813976504,trail_stop
ADANIPOWER,2014-03-11,2014-08-08,8.289999961853027,10.8100004196167,1206,3039.1205520629883,30.398075625568367,trail_stop
HDFCBANK,2014-03-14,2014-08-08,163.5972112065595,179.79559448102722,61,988.1013797425294,9.901381053504297,trail_stop
ASAHIINDIA,2014-05-20,2014-08-08,64.0644864642025,79.5383053848672,156,2413.9157516236937,24.153504967703213,trail_stop
COLPAL,2014-06-20,2014-08-08,629.0362891442688,590.6610844089888,15,-575.6280710291994,-6.100634478097439,trail_stop
HONAUT,2014-07-24,2014-08-08,5240.876716074303,4824.496810305768,1,-416.3799057685346,-7.944852136884942,trail_stop
SUNDARMFIN,2013-11-14,2014-08-11,427.50091885079075,664.1340692060844,23,5442.562458171755,55.35266473611604,trail_stop
MOTILALOFS,2014-05-08,2014-08-12,112.58644299671568,190.65760167457694,88,6870.261963651792,69.34330333194623,trail_stop
CHOLAFIN,2014-07-09,2014-08-13,81.25938280489291,72.63459552127973,123,-1060.8488358844206,-10.613897110591699,trail_stop
PHOENIXLTD,2014-07-22,2014-08-13,180.3960783125165,157.85692345655855,55,-1239.6535170776879,-12.494259890124296,trail_stop
PAGEIND,2014-07-10,2014-08-20,6820.319894357725,6770.1591106734795,1,-50.16078368424587,-0.7354608649037502,trail_stop
NATIONALUM,2014-05-16,2014-08-25,24.393240095281538,27.611077199549126,409,1316.095375645442,13.191511630675173,trail_stop
HINDALCO,2014-07-18,2014-08-25,172.06704510005252,146.3030098386524,58,-1494.314045161209,-14.973253737471365,trail_stop
KEI,2014-07-21,2014-08-26,32.72974048760331,28.44599352126104,305,-1306.5428247343916,-13.088239938733325,trail_stop
BALKRISIND,2014-02-06,2014-08-27,159.36085350529828,310.01641404468273,62,9340.644753441835,94.53737051827196,trail_stop
CONCOR,2014-03-04,2014-09-05,221.185076628743,359.3498486461028,45,6217.414740781192,62.46568444998126,trail_stop
ABREL,2014-05-19,2014-09-16,402.7832672860327,548.8643330042331,24,3505.945577236809,36.26790822332307,trail_stop
APOLLOHOSP,2014-08-14,2014-09-16,1101.1097980023071,1074.3272601887136,9,-241.04284032234318,-2.432322177332725,trail_stop
IRB,2014-05-09,2014-09-17,5.374305345074395,10.241706999050812,1860,9053.367076396136,90.56801468188704,trail_stop
WHIRLPOOL,2014-08-18,2014-09-17,406.86263647263706,404.5232355634855,24,-56.14562181963811,-0.5749854372063777,trail_stop
M&M,2014-03-18,2014-09-23,459.7718517577214,608.7071050902848,21,3127.6403199838314,32.393295231793665,trail_stop
SUNPHARMA,2014-07-28,2014-09-23,715.7898001567586,708.8911808790824,13,-89.68205060979017,-0.9637772536246484,trail_stop
SARDAEN,2014-08-13,2014-09-23,28.772233164016885,18.817340272094206,347,-3454.3478334971705,-34.598958082866034,trail_stop
CUMMINSIND,2014-08-27,2014-09-23,572.3128686363525,548.625661972975,17,-402.68251327741746,-4.1388562028697535,trail_stop
AUROPHARMA,2013-10-04,2014-09-24,98.74238323343211,378.4712589115584,101,28252.616443490755,283.29159831683694,trail_stop
ADANIPORTS,2014-03-04,2014-09-24,161.4172060851172,254.84981700274545,61,5699.389265975324,57.882683750801725,trail_stop
FINCABLES,2014-04-30,2014-09-24,119.20070342622748,184.6866112952735,83,5435.330353130821,54.93751797326837,trail_stop
GLENMARK,2014-07-28,2014-09-24,615.1968934716956,670.3981898767637,16,883.2207424810895,8.972947846591788,trail_stop
APLAPOLLO,2014-02-14,2014-09-25,14.840141060179704,27.845408776629693,673,8752.545173170844,87.63574189565355,trail_stop
BPCL,2014-02-28,2014-09-25,31.801810634780967,53.0996450587448,314,6687.520009124644,66.97050890766215,trail_stop
AXISBANK,2014-03-07,2014-09-25,255.60649517894115,363.00780765879597,39,4188.651186714338,42.018225086442705,trail_stop
HAVELLS,2014-03-20,2014-09-25,156.8191379108562,227.300092643694,63,4440.300148168781,44.94410291485129,trail_stop
MCX,2014-04-16,2014-09-25,102.25017204299031,136.90611527730474,97,3361.6264937284996,33.89328598854934,trail_stop
BAYERCROP,2014-08-05,2014-09-25,1788.2245109044652,1950.165984076116,5,809.707365858254,9.055992252882302,trail_stop
ELGIEQUIP,2013-07-17,2014-10-01,43.71374868415841,57.80776405186087,228,3213.435503836161,32.2416077137078,trail_stop
MPHASIS,2014-07-18,2014-10-01,342.5846977639697,309.63393380962873,29,-955.5721546758887,-9.618282477124255,trail_stop
DABUR,2014-02-12,2014-10-07,157.1872391197752,193.9528191906358,63,2316.231544464219,23.389672263946053,trail_stop
CRISIL,2014-04-30,2014-10-07,1091.027465772268,1590.310471093709,9,4493.547047892971,45.76264310340079,trail_stop
PIIND,2014-03-05,2014-10-08,262.53951845271456,415.5113030716751,38,5812.927815520501,58.266193798367915,trail_stop
ARE&M,2014-06-13,2014-10-08,434.9581760615413,513.7404534279301,22,1733.2101020605533,18.112609832914615,trail_stop
MINDACORP,2014-07-09,2014-10-08,28.40310320350321,48.02801139609328,352,6907.967683791703,69.09423963987692,trail_stop
IDEA,2014-07-25,2014-10-08,90.40555150310469,94.83006897692216,110,486.69692211992333,4.894077189126532,trail_stop
TECHM,2014-07-25,2014-10-08,386.4828041778365,427.24398208740075,25,1019.0294477391053,10.546698965371906,trail_stop
BHARATFORG,2013-10-04,2014-10-10,123.56250922760738,347.7497784557436,80,17934.981538250897,181.43631966487,trail_stop
MOTHERSON,2014-02-13,2014-10-10,16.040713755761427,26.101089610613084,623,6267.6141575725815,62.717756878107856,trail_stop
HINDUNILVR,2014-07-14,2014-10-10,533.2172374368938,594.487566163073,18,1102.8659170712253,11.490687926875305,trail_stop
BHARTIARTL,2014-08-04,2014-10-10,321.7808615828268,332.52245330761065,31,332.9893434682999,3.338169856325955,trail_stop
MFSL,2014-05-08,2014-10-13,233.4794238307874,306.42556179298236,42,3063.737794412189,31.243069202989886,trail_stop
DRREDDY,2014-09-18,2014-10-13,573.2698872240811,546.8568952956892,17,-449.02086278266324,-4.607427063069785,trail_stop
SRF,2014-03-06,2014-10-14,43.33520456766109,131.9183807373047,230,20374.13051901803,204.41388716957582,trail_stop
SUPREMEIND,2014-07-22,2014-10-14,522.2401904885435,541.0040893554688,19,356.51407847158043,3.592963392835028,trail_stop
ITC,2014-09-25,2014-10-14,161.37241021268576,148.3343963623047,61,-795.3188448732453,-8.079456601780452,trail_stop
RKFORGE,2014-01-14,2014-10-16,19.182588577270508,42.48474588474838,521,12140.42395719597,121.47556214122555,trail_stop
CIEINDIA,2014-02-10,2014-10-16,56.07322801212289,172.13723751113668,178,20659.393690824458,206.98649536267305,trail_stop
AARTIIND,2014-03-12,2014-10-16,28.79907688786329,60.29015205573234,347,10927.403083250561,109.34751586131655,trail_stop
BAJAJFINSV,2014-04-28,2014-10-16,80.6745460151266,101.49980139480914,123,2561.5064117009533,25.81391084094577,trail_stop
AEGISLOG,2014-05-20,2014-10-16,16.571157375666786,29.0676103653091,603,7535.361152754318,75.41086422842261,trail_stop
ABBOTINDIA,2014-06-30,2014-10-16,1851.8581675126134,2692.3690766183904,5,4202.554545528885,45.387434299827504,trail_stop
3MINDIA,2014-07-08,2014-10-16,4830.812207055992,5519.575059383353,2,1377.5257046547213,14.257702903899643,trail_stop
