A,B,lotA,lotB_lots,lotB_unit,beta,r2,stat,pval,level,hl,imb,margin,viable,rev,rows,sector
ITC,EMAMILTD,3200,1,600,0.1514,0.031,0.137,0.9685,FAIL,999.0,23.9,223944,False,False,2318,FMCG
BRITANNIA,NESTLEIND,200,7,100,3.5272,0.918,-3.306,0.0146,5%,89.2,0.8,264099,True,False,2318,FMCG
BRITANNIA,DABUR,200,1,1250,8.8578,0.849,-2.155,0.2229,FAIL,116.9,29.4,240925,False,False,2318,FMCG
BRITANNIA,MARICO,200,1,1200,8.7927,0.847,-2.534,0.1075,FAIL,98.9,31.8,235878,False,False,2318,FMCG
COLPAL,BRITANNIA,700,1,200,0.3366,0.815,-2.34,0.1594,FAIL,166.7,15.1,557918,False,True,2318,FMCG
BRITANNIA,GODREJCP,200,2,500,5.0056,0.867,-2.86,0.0502,10%,62.7,0.1,299652,True,False,2318,FMCG
BRITANNIA,TATACONSUM,200,1,750,3.4775,0.839,-2.535,0.1071,FAIL,142.8,7.8,248756,False,False,2318,FMCG
BRITANNIA,EMAMILTD,200,1,600,-0.9573,0.005,-0.51,0.89,FAIL,1725.2,213.4,182521,False,False,2318,FMCG
DABUR,NESTLEIND,1250,4,100,0.3585,0.876,-2.608,0.0914,10%,87.4,10.7,250882,True,True,2318,FMCG
MARICO,NESTLEIND,1200,4,100,0.3525,0.836,-2.404,0.1406,FAIL,113.4,5.4,241765,False,True,2318,FMCG
COLPAL,NESTLEIND,700,9,100,1.2794,0.869,-1.084,0.7216,FAIL,190.8,0.5,405713,False,True,2318,FMCG
GODREJCP,NESTLEIND,500,3,100,0.5986,0.764,-2.121,0.2362,FAIL,120.8,0.2,135083,False,True,2318,FMCG
TATACONSUM,NESTLEIND,750,7,100,0.9263,0.912,-2.217,0.2,FAIL,111.0,0.8,231595,False,True,2318,FMCG
EMAMILTD,NESTLEIND,600,1,100,-0.031,0.012,0.363,0.9801,FAIL,8896.3,437.1,111989,False,True,2318,FMCG
DABUR,MARICO,1250,1,1200,0.916,0.85,-2.588,0.0955,10%,96.2,4.8,193934,True,False,2318,FMCG
COLPAL,DABUR,700,2,1250,2.8978,0.654,-1.268,0.6438,FAIL,252.2,23.2,841958,False,True,2318,FMCG
DABUR,GODREJCP,1250,1,500,0.4759,0.724,-1.598,0.4848,FAIL,167.1,16.0,178600,False,False,2318,FMCG
TATACONSUM,DABUR,750,1,1250,2.2458,0.787,-2.398,0.1423,FAIL,122.2,25.8,238565,False,True,2318,FMCG
DABUR,EMAMILTD,1250,1,600,-0.1465,0.011,-1.342,0.6096,FAIL,404.8,227.7,140577,False,False,2318,FMCG
COLPAL,MARICO,700,2,1200,3.0311,0.725,-2.048,0.2658,FAIL,162.3,13.1,809886,False,True,2318,FMCG
MARICO,GODREJCP,1200,1,500,0.5178,0.847,-2.838,0.0531,10%,63.9,19.5,173553,True,False,2318,FMCG
TATACONSUM,MARICO,750,1,1200,2.3538,0.875,-3.261,0.0167,5%,73.5,32.0,230743,True,True,2318,FMCG
MARICO,EMAMILTD,1200,1,600,0.1471,0.011,-0.626,0.865,FAIL,871.5,240.0,135530,False,False,2318,FMCG
COLPAL,GODREJCP,700,2,500,1.7649,0.776,-2.272,0.1811,FAIL,99.4,19.1,378366,False,False,2318,FMCG
COLPAL,TATACONSUM,700,1,750,1.318,0.867,-1.578,0.4948,FAIL,166.7,18.7,327470,False,False,2318,FMCG
COLPAL,EMAMILTD,700,1,600,0.156,0.001,1.866,0.9985,FAIL,999.0,449.6,261235,False,False,2318,FMCG
TATACONSUM,GODREJCP,750,2,500,1.2584,0.79,-3.056,0.03,5%,86.7,6.0,261760,True,True,2318,FMCG
GODREJCP,EMAMILTD,500,1,600,0.3394,0.019,-0.367,0.9155,FAIL,868.5,253.5,120196,False,False,2318,FMCG
TATACONSUM,EMAMILTD,750,1,600,0.4425,0.016,0.815,0.9919,FAIL,999.0,80.8,148409,False,False,2318,FMCG
SRF,PIDILITIND,250,1,375,2.2283,0.936,-1.834,0.3639,FAIL,85.6,32.7,181271,False,True,2318,Chemicals
DEEPAKNTR,PIDILITIND,350,2,375,2.2332,0.924,-2.469,0.1231,FAIL,78.1,4.0,313768,False,True,2318,Chemicals
PIDILITIND,NAVINFLUOR,375,1,100,0.2342,0.91,-1.821,0.3703,FAIL,118.3,13.9,130717,False,False,2318,Chemicals
AARTIIND,PIDILITIND,1700,3,375,0.598,0.766,0.044,0.9621,FAIL,390.0,10.7,429292,False,True,2318,Chemicals
ATUL,PIDILITIND,300,5,375,6.4549,0.848,0.716,0.9901,FAIL,532.0,3.2,1902013,False,True,2318,Chemicals
DEEPAKNTR,SRF,350,1,250,0.9844,0.952,-3.2,0.02,5%,75.6,27.4,205004,True,True,2318,Chemicals
SRF,NAVINFLUOR,250,1,100,0.5477,0.939,-2.209,0.2031,FAIL,94.6,27.0,145132,False,False,2318,Chemicals
AARTIIND,SRF,1700,2,250,0.2466,0.691,-0.471,0.8976,FAIL,552.7,19.3,641409,False,True,2318,Chemicals
ATUL,SRF,300,3,250,2.7405,0.811,-0.498,0.8924,FAIL,362.5,8.8,842945,False,True,2318,Chemicals
DEEPAKNTR,NAVINFLUOR,350,2,100,0.5515,0.935,-2.274,0.1805,FAIL,108.0,3.6,228398,False,False,2318,Chemicals
AARTIIND,DEEPAKNTR,1700,1,350,0.2573,0.766,-1.024,0.7446,FAIL,446.2,20.0,584959,False,True,2318,Chemicals
ATUL,DEEPAKNTR,300,2,350,2.7955,0.859,-0.241,0.9335,FAIL,259.1,16.5,786076,False,True,2318,Chemicals
AARTIIND,NAVINFLUOR,1700,2,100,0.1429,0.726,-1.351,0.6053,FAIL,286.5,17.7,986506,False,True,2318,Chemicals
ATUL,NAVINFLUOR,300,5,100,1.6162,0.882,-1.823,0.3693,FAIL,127.4,3.1,662585,False,True,2318,Chemicals
ATUL,AARTIIND,300,2,1700,9.9067,0.932,-2.326,0.1638,FAIL,56.7,14.4,3367494,False,True,2318,Chemicals
DLF,GODREJPROP,3300,2,425,0.2598,0.79,-2.293,0.1741,FAIL,193.1,0.9,570943,False,False,2318,Real Estate
DLF,OBEROIRLTY,3300,2,800,0.5222,0.927,-4.489,0.0002,1%,58.1,7.2,620479,True,False,2318,Real Estate
DLF,PRESTIGE,3300,3,750,0.6717,0.916,-3.559,0.0066,1%,78.8,1.5,631905,True,False,2318,Real Estate
DLF,BRIGADE,3300,3,1000,0.9956,0.962,-5.6,0.0,1%,32.9,8.7,581782,True,False,2318,Real Estate
DLF,PHOENIXLTD,3300,4,500,0.5733,0.949,-3.143,0.0235,5%,33.3,5.7,649440,True,False,2318,Real Estate
GODREJPROP,OBEROIRLTY,425,1,800,1.6965,0.836,-2.714,0.0717,10%,98.8,11.0,273829,True,False,2318,Real Estate
