,top_5,top_10,top_20,top_50
2018-10-31,16718511.692584075,28285827.035838027,76207007.06800255,34916663.44955802
2018-11-30,15406299.373936178,26554360.21537577,72085831.37676482,35299511.62746345
2018-12-31,15497998.257766169,26211867.837493308,71285302.25524347,35743970.79020146
2019-01-31,14205023.49009047,23791749.938941505,68528732.43815285,34445452.840482876
2019-02-28,14190818.46660038,23767958.189002566,68460203.7057147,34411007.38764239
2019-03-28,14806928.255748792,24385925.421478596,71740925.13760193,36483290.09923442
2019-04-30,14103871.155831369,23804043.04544593,71082220.49088031,36508839.47631651
2019-05-31,14825943.12664523,24558343.029190544,73428450.19092394,37012373.55529324
2019-06-28,14229352.136469128,24560911.588663496,73218928.29524375,36767900.88852363
2019-07-31,13436544.229715176,22701645.64580142,66967226.98779939,33836209.337448075
2019-08-30,13261554.628070593,22032022.661167193,66733971.577925615,33875684.907435305
2019-09-30,13248293.073442522,22009990.63850602,66667237.60634769,33841809.22252788
2019-10-31,12610999.155172016,22598908.942368694,68803348.09258744,35497865.22272999
2019-11-29,14819302.315501267,24055378.511357564,69968470.48800765,35744594.960536845
2019-12-31,15218774.3080235,24512470.568300407,71393600.80435689,36769018.24557692
2020-01-31,16128701.95499722,25840222.60224057,75113583.9971077,38954869.33342086
2020-02-28,14677544.038883716,23712543.2373158,71302699.91422546,37739692.39175366
2020-03-31,11194388.629352512,17241852.034024894,52797149.10169245,28419627.569601443
2020-04-30,11183194.24072316,17224610.181990873,52744351.95259077,28391207.942031838
2020-05-29,11183194.24072316,17224610.181990873,52744351.95259077,28391207.942031838
2020-06-30,11183194.24072316,17224610.181990873,52744351.95259077,28391207.942031838
2020-07-31,11183194.24072316,17224610.181990873,52744351.95259077,28391207.942031838
2020-08-31,11183194.24072316,17224610.181990873,52744351.95259077,28391207.942031838
2020-09-30,13825062.611228473,20648989.487009708,59645048.289630525,31152083.857870754
2020-10-30,13811237.548617246,20628340.497522693,59585403.24134089,31120931.774012875
2020-11-27,13811237.548617246,20628340.497522693,59585403.24134089,31120931.774012875
2020-12-31,13817883.286504427,21544187.72976195,63445506.21057126,33647401.9847479
2021-01-29,16552378.503099516,23943392.1937134,65188290.80293593,34368567.46283612
2021-02-26,18946988.579495978,27135570.597321156,80052136.82366264,39222026.476428814
2021-03-31,18310682.162722897,27513265.472185556,89021459.07454403,42367399.665402904
2021-04-30,18835417.954244807,29533410.965609763,94702281.3222736,45700531.416831024
2021-05-31,22226210.71438568,34641444.86433853,105108814.07336062,49727294.19939223
2021-06-30,21018362.7383222,35184804.93626355,118339190.65676887,55670979.66433037
2021-07-30,20859333.897833876,35164676.257029854,121262876.78226894,59702369.45401987
2021-08-31,20002331.025930073,36095818.64405471,124183653.65513134,60415469.52835986
2021-09-30,22225726.612247348,39346349.52431213,139011665.50089672,64800747.09538094
2021-10-29,23987915.176356427,43092078.965121366,151484274.49176618,67556259.64117365
2021-11-30,33469479.303990327,51813310.908053085,167760843.78853768,70094292.30764921
2021-12-31,39809072.83623532,57991749.173174225,194165018.55078906,77566442.41277878
2022-01-31,37897453.49396407,58167279.245944194,204405477.7530384,80658142.43075036
2022-02-28,30773548.185570616,49507294.02888743,184316938.39780876,74953320.04145725
2022-03-31,34329687.0476481,53638257.420971036,206909339.1662891,84656398.52678686
2022-04-29,35792467.77456011,53768903.43780734,206512973.9588158,87302028.42699517
2022-05-31,31810650.191513464,47538960.8225559,188590846.6139348,80369790.84141287
2022-06-30,30375634.80598385,44556763.094856605,178488916.46426547,76567379.95201783
2022-07-29,30345259.171177857,44512206.33176175,178310427.54780117,76490812.5720658
2022-08-30,35668437.78567295,48474357.05588095,190191825.6740488,84049572.66031861
2022-09-30,31265107.431384802,45305921.2930729,178665525.83546135,83025572.90491946
2022-10-31,31233842.323953416,45260615.37177983,178486860.30962583,82942547.3320146
2022-11-30,31233842.323953416,45260615.37177983,178486860.30962583,82942547.3320146
2022-12-30,29380501.13732367,43048207.164096296,175847688.51252958,82911518.97336188
2023-01-31,27020119.763388,40563110.94931084,166371147.58541018,81158990.40347505
2023-02-28,23613001.960680604,34835290.7604031,150984160.18890238,74755707.16104943
2023-03-31,25041893.80205499,36217610.06917985,155312926.5212365,76802327.93534164
2023-04-28,27411395.660218842,39696317.98540379,175480860.1182774,84925260.05866745
2023-05-31,27795957.704651415,40498898.539491676,183106406.5670082,92101680.90139644
2023-06-30,35605742.40360828,47657977.00317381,207881227.50631225,101523058.27736744
2023-07-31,42847701.99759207,55118491.8329031,235714376.65927562,115798830.07452561
2023-08-31,45714203.265768215,66731137.57248469,281681860.2380535,132231000.0121031
2023-09-29,49265400.10600613,69158514.92092894,296304738.81232613,142301390.5270292
2023-10-31,50675223.933618575,70627156.43589151,295148804.8545942,139876335.71823445
2023-11-30,55146200.172999285,79036604.86126746,335938460.6474904,157836249.71359843
2023-12-29,54384273.64768174,80762287.90015988,354250411.515423,170321574.4865353
2024-01-31,60792153.48858991,94974267.27255592,418960842.04236525,196866947.6441676
2024-02-29,60749735.38946597,94279664.22559294,410215012.8667322,196750323.4095144
2024-03-28,58348097.31583594,92212849.72137308,391596266.53471214,190316185.03550118
2024-04-30,75395641.94462888,110593783.40313822,465686175.0688411,215276162.27954304
2024-05-31,77487296.39707679,122734341.68697473,488930264.12684757,225947187.05836403
2024-06-28,81679507.23936577,128475756.3735969,523046420.3089349,246072476.92485747
2024-07-31,85921729.04980151,136557089.92537904,569544601.8489323,266016096.92982876
2024-08-30,78815879.68335074,132565314.9262219,576799797.2482398,268230059.82423526
2024-09-30,73531355.45233114,120940340.91662256,559591745.2277458,269904149.8795617
2024-10-31,82509940.35985067,121877508.78142191,552562951.0295271,258265730.71482635
2024-11-29,84961452.00579569,123286102.37324794,556619115.5196157,260583385.1311252
2024-12-31,90313336.91138706,128209407.3705811,568948739.0305111,266227916.6396912
2025-01-31,74971120.1018082,102575375.12048255,476379234.90766025,233820561.4990016
2025-02-28,62826908.7696476,83262394.30271974,408142915.9952375,206576919.25015664
2025-03-28,62764081.860877946,83179131.90841702,407734773.0792423,206370342.33090654
2025-04-30,60212120.40488722,84409233.65932249,406456267.03492033,206302080.5962616
2025-05-30,62548224.9059731,88488831.63441733,442825129.3761182,225158928.52519736
2025-06-30,68056997.30659528,91506132.51978579,464029011.39921874,239473197.54880854
2025-07-31,62765646.97319693,87579115.22920564,459981207.4622739,234663797.0948088
2025-08-29,62702881.326223746,87491536.11397643,459521226.25481147,234429133.29771405
2025-09-30,62702881.326223746,87491536.11397643,459521226.25481147,234429133.29771405
2025-10-31,62702881.326223746,87491536.11397643,459521226.25481147,234429133.29771405
2025-11-28,61409172.65637711,87985605.88213478,456172161.0593917,234688971.58208355
2025-12-31,61422927.320116185,88532749.98704606,453545739.908033,234873156.93219393
2026-01-30,61832769.35773763,85257307.58260994,445431077.45929784,228145579.0943408
2026-02-27,63356578.32219648,84231526.75398813,448850714.2739246,234695735.3928942
2026-03-30,54485214.08822608,74932342.46098267,412340369.018873,207616664.2270947
2026-04-30,54430728.87413784,74857410.11852168,411928028.64985406,207409047.56286767
2026-05-29,54430728.87413784,74857410.11852168,411928028.64985406,207409047.56286767
2026-06-18,54430728.87413784,74857410.11852168,411928028.64985406,207409047.56286767
