,LiqFund,ME_cap3pct,Daily_cap3pct,Daily_cap5pct,NoCap
2014-12-31,8995344.549950356,11484083.299276188,8387847.214206698,8190685.81718627,7389528.371228678
2015-01-30,9729612.40189435,12421500.77438025,9072526.552747874,8859271.355798757,7992717.397940413
2015-02-27,10108559.135041468,12905290.5642304,9425881.25554004,9204320.243634226,8304015.939116424
2015-03-31,10441827.437848935,13330764.088807123,9736642.40423917,9507776.764500674,8577790.397132112
2015-04-30,10481425.209898662,13467790.65113526,9672213.696366025,9605529.67417315,8665981.778845137
2015-05-29,10530024.983013118,13450850.085121516,9599669.738755109,9593469.500334475,8655101.249579096
2015-06-30,10583913.878862273,13650649.96554836,9742288.426328424,9735996.07329445,8783686.83789843
2015-07-31,10636381.724062132,13620000.745997569,9675129.24264137,9714160.338419804,8763986.926808657
2015-08-31,10069696.201927042,12894353.863960108,9159657.364249928,9196608.959925363,8297058.920984235
2015-09-30,10107882.768137528,12899624.392778156,9046333.159099955,9200390.032904116,8300470.154997327
2015-10-30,10156370.516963545,12826843.632092947,8962388.306341607,9072273.972902901,8105547.876750797
2015-11-30,10206718.893015688,12869365.03809878,8992121.083237762,9102371.296156151,8132438.080388816
2015-12-31,10257316.86206632,12863379.833605532,8987961.323500574,9098160.534614999,8128676.010441267
2016-01-29,10304877.500269292,13391874.26639684,9357254.230497103,9471981.252263624,8462663.027728481
2016-02-29,10355962.072921328,13769685.044632707,9621263.68610365,9739227.663692234,8701432.11574262
2016-03-31,10407299.88813379,13693540.391272314,9566636.834809534,9564647.788317995,8234950.886125767
2016-04-29,10866763.962125465,14298086.23151636,9988987.106423417,9986910.247010734,8598509.553977242
2016-05-31,10890494.98003328,14329310.627444172,10010801.220793586,10008719.825901154,8617287.120593864
2016-06-30,11362622.450737625,14950518.496863844,10444791.986939901,10442620.358893879,8990865.913847812
2016-07-29,12031330.29005654,15830379.546905722,11059484.089225564,11057184.657522883,9519992.226450501
2016-08-31,12518185.216566147,16470965.258138148,11507012.68196514,11504620.202392811,9905224.366541538
2016-09-30,12690260.947586885,16697376.142653618,11665188.774174877,11662763.407433655,10041382.179699747
2016-10-28,13607056.343999503,17903661.627481688,12507928.841587057,12505328.256615723,10766811.939890685
2016-11-30,12401276.20813596,16317140.707462149,11399547.149272598,11397177.013387438,9812718.149471154
2016-12-30,12448304.653236998,16414866.998310296,11467848.340697194,11465464.00397557,9871511.742931167
2017-01-31,12512010.617281623,16325936.981796443,11383054.377272513,11300646.455574146,9749924.210114587
2017-02-28,13311677.08872676,17369358.764162645,12110567.10137211,12022892.33216383,10373060.469221583
2017-03-31,14117394.886556478,18420676.445615947,12843585.141875058,12750603.669273896,11000912.195364604
2017-04-28,15529286.830573795,20262943.017168827,14128082.355407147,14025801.731428303,12101122.215009782
2017-05-31,15424714.829639142,20126495.251135036,14032945.865406469,13931353.984550428,12019634.98527514
2017-06-30,15663415.841477266,20437957.397065245,14250108.932220884,14146944.89362819,12205641.602875413
2017-07-31,16996238.60490629,22177052.823790003,15462671.361669607,15350728.9454615,13244237.343115581
2017-08-31,18799169.53976757,24529555.369178,17102924.195346594,16979107.12558742,14649162.619209038
2017-09-29,20673662.68307605,26975433.802832358,18808282.193575393,18672119.139713183,16109852.402703457
2017-10-31,23886318.010029398,31167374.652021658,21731060.266640153,21573737.684007898,18613298.644009583
2017-11-30,24608712.33699445,32109970.10041019,22388273.096552435,22226192.60434413,19176220.955472287
2017-12-29,27129299.576476187,35398885.82208173,24681428.248614926,24502746.39934109,21140376.461861096
2018-01-31,28846597.5113528,37639652.61179662,26243774.730936367,26053782.233192116,22478572.633794267
2018-02-28,28239754.601716302,36847831.10495649,25691687.13685188,25505691.49177265,22005693.20958492
2018-03-28,27069390.03012793,35320714.5746134,24626924.32876867,24448637.06205677,21093692.235462587
2018-04-30,27185049.72195028,35098190.46978466,24429933.296154603,24148305.38500249,20757647.237530846
2018-05-31,27569694.42111171,35594799.195994206,24775595.50532267,24489982.805315346,21051349.8078275
2018-06-29,26289566.931391753,33942046.71184037,23625204.775701113,23352853.763078067,20073884.799580067
2018-07-31,28590373.741161298,36912582.22564026,25692832.293947794,25396645.70175334,21830708.37015985
2018-08-31,30597670.54706242,39504171.58609754,27496696.0931798,27179714.58568116,23363416.9516812
2018-09-28,26003204.564050876,33572328.759689905,23367864.303484954,23098479.90803464,19855227.520518113
2018-10-31,26114308.753060102,33360819.663845193,23051922.96151203,22868935.02093529,19657912.979575362
2018-11-30,26239579.699768636,33332576.56419899,22873994.0490947,22530702.48442525,19641317.73414436
2018-12-31,26369657.686187852,33148251.542975713,22703106.89970187,22231598.467046756,19370308.424096107
2019-01-31,26500380.510776907,33958915.59388361,23258383.666199435,22775342.99352899,19844070.992158268
2019-02-28,26386519.674438987,33813008.61231872,23158452.308043092,22677487.055193625,19758809.47983405
2019-03-28,27886389.247632645,35735016.64602242,24474831.216957647,23966526.809213445,20881944.98641025
2019-04-30,27669498.46472119,35457081.92780258,24284474.363758273,23780123.37357467,20719532.37154648
2019-05-31,28143924.04033134,36065034.63516737,24700859.7833605,24187861.111718826,21074792.73465995
2019-06-28,27924646.060095202,35784040.84266664,24508407.77717866,23999406.03618603,20910592.53364573
2019-07-31,25990267.418001495,33305231.113623027,22810676.65987559,22336934.16959812,19462087.026948866
2019-08-30,26088828.392204054,33548678.058592707,22977467.44965961,22500260.972526953,19604393.058219742
2019-09-30,26218159.056190427,33363158.022862718,22718348.972893648,22191524.80319164,19358575.93915967
2019-10-31,27097660.1390571,34482341.62175967,23480447.199538022,22935950.453102455,20007968.921510484
2019-11-29,27602123.771008205,35124282.187971845,23917570.98119779,23362937.610238798,20380447.30592872
2019-12-31,28475476.583696928,36235641.983943686,24674341.658063274,24102159.252886616,21025300.61961403
2020-01-31,30231132.080120213,38469750.47475506,26195638.182294454,25588177.871174682,22321615.520201556
2020-02-28,28791157.541465104,36637352.63251579,24947882.99051549,24369357.33453657,21258388.44932796
2020-03-31,28909561.87196272,39915563.4585442,27180215.45655211,26549923.420044295,23160585.550745096
2020-04-30,29048241.71292176,39690356.50807531,26947742.590060025,25861346.687227182,21768470.676940218
2020-05-29,29182931.216338586,39763439.98402255,26997424.898390926,25909026.057611298,21808604.200868968
2020-06-30,29332279.00453731,39548015.553547986,26699834.198402658,25623432.70085532,20282512.857613456
2020-07-31,31021180.80778405,41825121.7672481,28237164.390751358,27098785.5599752,21450344.80596974
2020-08-31,33805338.92951663,45578936.07825969,30771456.397891253,29530907.804882213,23375518.192358658
2020-09-30,39551677.02381711,53326587.33625393,36002085.574098624,34550664.61999004,27348962.47412808
2020-10-30,40996130.890464455,55274110.199230775,37316905.97181675,35812478.147530876,28347764.991926696
2020-11-27,46138338.01204728,62207226.00630682,41997622.3095711,40304491.81252278,31903468.319441117
2020-12-31,48980932.86632378,66039829.17675849,44585106.60598991,42787661.90418477,33869049.19612413
2021-01-29,50539189.82459838,68140790.04695669,46003516.761505045,44148888.97743103,34946543.61061478
2021-02-26,58870750.422004335,79374035.44328499,53587355.93507462,51426986.33317028,40707602.439856514
2021-03-31,62505106.55304875,84274151.55003022,56895544.36809156,54601805.43673714,43220665.776859835
2021-04-30,66484581.74812081,89639583.49908963,60517878.92616132,58078105.891600534,45972370.02725638
2021-05-31,73513930.95477773,99117088.1864406,66916374.53270395,64218646.703302346,50832983.33461719
2021-06-30,81081895.24673265,109320794.80878085,73805146.85698777,70829698.76943696,56066035.053298555
2021-07-30,85170605.24923229,114833505.4559075,77526912.8723459,74401422.11102101,58893272.349927396
2021-08-31,85914902.59172647,115837023.89621927,78204412.75688718,75051608.64653967,59407934.72637253
2021-09-30,92575297.58691989,124817076.37771705,84267066.19203371,80869846.73482637,64013425.73189233
2021-10-29,98918697.91891414,133369732.47897957,90041173.85997657,86411171.75346182,68399723.12033458
2021-11-30,108494510.90883502,146280573.84267566,98757599.171022,94776195.13487922,75021150.32209162
2021-12-31,108923320.53657316,146655751.6126546,98044725.88157238,95019509.58111586,75213748.57548928
2022-01-31,109463288.2636331,147047297.29164815,97329013.96888503,95273430.37017202,75414742.39739338
2022-02-28,109953301.44234413,151116789.92504007,100022784.39715004,97910308.51025656,77501992.58766311
2022-03-31,110498375.11408025,151095230.22681606,100008761.62129633,97896581.8946831,77491127.13258883
2022-04-29,111958154.74501167,153091329.6191219,101329964.33562331,99189880.87794986,78514852.31270374
2022-05-31,112418585.35941966,154950725.25071076,102560942.37973838,100394860.73124109,79468667.50416824
2022-06-30,112957859.92911159,158640386.0868168,105003351.87923622,102785686.67200574,81361152.34216794
2022-07-29,113481617.55310959,157727525.9416255,104155398.56533945,101419113.82849696,78969050.49047539
2022-08-30,124710747.52385202,173334836.8607994,114461688.9836736,111454645.88429202,86783124.26509942
2022-09-30,121222904.3426786,168487101.2741844,111260485.96505699,108337542.23143102,84356020.47317438
2022-10-31,126102559.71206819,175269309.57766926,115739118.37107125,112698515.70028687,87751651.93798937
