,A,B,C
2016-12-30,17530233.245508827,8608816.268533422,9075590.080968888
2017-01-31,19724774.48931171,8608816.268533422,9066514.490887921
2017-02-28,20958809.441135004,9156563.53560035,9643383.409830777
2017-03-31,22032305.370917756,9625556.476915613,10137310.933188569
2017-04-28,24085663.638610177,10522635.36359009,11082084.113588823
2017-05-31,24034964.109827403,10500485.562675664,11058756.691479132
2017-06-30,24216141.969916195,10579639.22795454,11142118.657964682
2017-07-31,26378269.38553591,11524237.589268396,12136937.743862066
2017-08-31,28486622.93501301,12445343.02159348,13107014.870532306
2017-09-29,30521106.616041325,13334175.90782201,14043103.641810214
2017-10-31,34420618.07610879,15037809.148163926,15837312.622338219
2017-11-30,35250097.95865269,15400195.440541249,16218965.624173958
2017-12-29,38254233.63168822,16712653.537790114,17601202.157770827
2018-01-31,39289015.78800574,17164733.06007588,18077317.039536778
2018-02-28,38335883.502496995,16748325.040593436,17638770.179551043
2018-03-28,35454159.34482926,15489346.546806907,16312856.557796346
2018-04-30,38485473.355400234,15473857.200260099,16296543.701238545
2018-05-31,37395379.36035385,15050613.6383679,15850797.878889339
2018-06-29,36134683.51866861,14543218.169910159,15316426.1111705
2018-07-31,37860193.48756927,15237688.564790264,16047818.872064639
2018-08-31,40925896.04833187,16471549.687779987,17347279.727353085
2018-09-28,35576737.20764494,14318660.096110465,15079929.133346425
2018-10-31,34916663.44955802,14304341.43601435,14800143.3442046
2018-11-30,35299511.62746345,14304341.43601435,14785343.200860396
2018-12-31,35743970.79020146,14304341.43601435,14986493.211834215
2019-01-31,34445452.840482876,14304341.43601435,14442059.28329494
2019-02-28,34411007.38764239,14197511.645880211,14427617.224011647
2019-03-28,36483290.09923442,15037454.681250328,14427617.224011647
2019-04-30,36508839.47631651,15047985.463944575,14452173.108486338
2019-05-31,37012373.55529324,15255528.996133756,14651499.128698917
2019-06-28,36767900.88852363,15154763.779034285,14554723.625803532
2019-07-31,33836209.337448075,13946397.463419883,13394201.560337279
2019-08-30,33875684.907435305,13932451.065956464,13380807.358776938
2019-09-30,33841809.22252788,13932451.065956464,13380807.358776938
2019-10-31,35497865.22272999,14614238.467852822,14035599.960683694
2019-11-29,35744594.960536845,14715815.483901413,14133155.120030122
2019-12-31,36769018.24557692,15137563.836532224,14538204.700589832
2020-01-31,38954869.33342086,16037464.403863015,15402474.460196612
2020-02-28,37739692.39175366,15537184.02095173,14922002.259187555
2020-03-31,28419627.569601443,15521646.836930772,14907080.25692837
2020-04-30,28391207.942031838,15521646.836930772,14907080.25692837
2020-05-29,28391207.942031838,15521646.836930772,14907080.25692837
2020-06-30,28391207.942031838,15521646.836930772,14907080.25692837
2020-07-31,28391207.942031838,16751595.133027565,14907080.25692837
2020-08-31,28391207.942031838,17568863.499288667,15650009.371994771
2020-09-30,31152083.857870754,19258053.52927081,17154707.715252496
2020-10-30,31120931.774012875,19388052.20549155,17270508.062912084
2020-11-27,31120931.774012875,21407338.526255902,19069249.90218827
2020-12-31,33647401.9847479,23122091.22519181,20596718.984641265
2021-01-29,34368567.46283612,23617667.495251913,21038168.898080077
2021-02-26,39222026.476428814,26952906.338384267,24009136.209367782
2021-03-31,42367399.665402904,29114369.08209619,25934526.101416223
2021-04-30,45700531.416831024,31404857.258777373,27974849.394550998
2021-05-31,49727294.19939223,34172000.36369801,30439767.829793684
2021-06-30,55670979.66433037,38256429.75282121,34078099.82671634
2021-07-30,59702369.45401987,41026752.48156443,36545850.61037046
2021-08-31,60415469.52835986,41516786.30286971,36982363.415898964
2021-09-30,64800747.09538094,44530296.46922401,39666740.94253614
2021-10-29,67556259.64117365,46423851.653213,41353483.877104245
2021-11-30,70094292.30764921,48167957.27163094,42907099.98181671
2021-12-31,77566442.41277878,48119789.31435931,47481057.16270615
2022-01-31,80658142.43075036,48119789.31435931,49373591.88154822
2022-02-28,74953320.04145725,48119789.31435931,45881476.09612082
2022-03-31,84656398.52678686,48119789.31435931,45835594.62002471
2022-04-29,87302028.42699517,49673272.76115606,47315335.87681044
2022-05-31,80369790.84141287,49623599.48839488,47268020.54093363
2022-06-30,76567379.95201783,49623599.48839488,47268020.54093363
2022-07-29,76490812.5720658,49623599.48839488,47268020.54093363
2022-08-30,84049572.66031861,54527363.3606237,51939008.0112119
2022-09-30,83025572.90491946,53863041.04491728,51306220.36202182
2022-10-31,82942547.3320146,56580665.909106046,53894842.49397879
2022-11-30,82942547.3320146,58406360.332862005,55633873.16513649
2022-12-30,82911518.97336188,58326126.3183185,55557447.77305239
2023-01-31,81158990.40347505,57093267.43442176,54383111.37567494
2023-02-28,74755707.16104943,57036174.16698736,50092391.83848467
2023-03-31,76802327.93534164,57036174.16698736,50042299.4466462
2023-04-28,84925260.05866745,57036174.16698736,50042299.4466462
2023-05-31,92101680.90139644,61917807.43715879,54325338.3682158
2023-06-30,101523058.27736744,68251579.24728143,59882452.08031217
2023-07-31,115798830.07452561,77848846.96815604,68302886.16748519
2023-08-31,132231000.0121031,88895810.75873943,77995252.07488504
2023-09-29,142301390.5270292,95665898.9332185,83935180.28107199
2023-10-31,139876335.71823445,94035591.26449889,82504783.76973926
2023-11-30,157836249.71359843,93941555.67323437,93098275.60738288
2023-12-29,170321574.4865353,101474090.97088958,100462630.81011814
2024-01-31,196866947.6441676,117289278.3232513,116120177.608236
2024-02-29,196750323.4095144,117219796.00292699,116051387.86468881
2024-03-28,190316185.03550118,113386468.69455644,112256269.89447062
2024-04-30,215276162.27954304,128257109.76941016,126978685.33982204
2024-05-31,225947187.05836403,134614686.85512623,133272892.20088562
2024-06-28,246072476.92485747,146604920.6284145,145143611.2915195
2024-07-31,266016096.92982876,158486919.2347231,156907174.06750304
2024-08-30,268230059.82423526,159805952.79127902,158213059.9340387
2024-09-30,269904149.8795617,160803341.21420655,159200506.71920475
2024-10-31,258265730.71482635,153869410.45035577,152335691.08275315
2024-11-29,260583385.1311252,153715541.03990534,153702738.44989964
2024-12-31,266227916.6396912,153715541.03990534,157032113.99583775
2025-01-31,233820561.4990016,153715541.03990534,156875081.88184193
2025-02-28,206576919.25015664,153715541.03990534,156875081.88184193
2025-03-28,206370342.33090654,153715541.03990534,156875081.88184193
2025-04-30,206302080.5962616,153664696.09118477,156875081.88184193
2025-05-30,225158928.52519736,167710273.32367215,171385486.8993997
2025-06-30,239473197.54880854,178372297.63735476,182281159.49070916
2025-07-31,234663797.0948088,174790001.92318317,178620361.12085596
2025-08-29,234429133.29771405,170873036.12039128,174617558.68081576
2025-09-30,234429133.29771405,170702163.08427092,172274170.64798397
2025-10-31,234429133.29771405,170702163.08427092,180294534.94979998
2025-11-28,234688971.58208355,170891367.20139605,180313876.75936744
2025-12-31,234873156.93219393,171025483.79872328,180455388.20021957
2026-01-30,228145579.0943408,166126723.6784062,175286523.07219025
2026-02-27,234695735.3928942,165960596.95472783,180319073.4626498
2026-03-30,207616664.2270947,165960596.95472783,180138754.38918707
2026-04-30,207409047.56286767,165960596.95472783,180138754.38918707
2026-05-29,207409047.56286767,165960596.95472783,180138754.38918707
2026-06-18,207409047.56286767,165960596.95472783,180138754.38918707
